TSP,TSP Name,TSP FERC CID,Loc,Loc Name,Loc Loctr ID,Loc Loctr,Loc Cnty,Loc St Abbrev,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc Name,Up/Dn Loc,Update D/T
784158214,Northern Natural Gas Company,C000060,78851,NORTHWESTERN REDFIELD ETHANOL,SRV,26 - 117 N - 64 W,SPINK,SD,MID 17,END,D,A,20060516,,Y,NORTHWESTERN ENERGY PUBLIC SERVICE CORPORATION,129287403,N,,,,20240627 05:00
784158214,Northern Natural Gas Company,C000060,3211,NORTHWOOD IA #1,SRV,4 - 99 N - 20 W,WORTH,IA,MID 17,LDC,D,A,19871001,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,1460,NORWOOD-Y.A. MN,SRV,10 - 115 N - 26 W,CARVER,MN,MID 17,LDC,D,A,19871001,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78444,NPPD BEATRICE POWER STATION,SRV,10 - 4 N - 5 E,GAGE,NE,MID 17,END,D,A,20040621,,Y,NEBRASKA PUBLIC POWER DISTRICT,7295272,N,,,,20160201 08:52
784158214,Northern Natural Gas Company,C000060,78626,NSP CEDAR YARD POWER PLANTS,SRV,19 - 27 N - 23 W,DAKOTA,MN,MID 17,END,D,A,20060110,,Y,"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION (GENERATION)",836013680,N,,,,20180602 05:00
784158214,Northern Natural Gas Company,C000060,78915,NTG #1-SECTION 72,SRV,72 - 5T - T&NO,HUTCHINSON,TX,MID 10,LDC,D,A,20070406,,Y,"WEST TEXAS GAS, INC.",60150745,N,,,,20180127 05:00
784158214,Northern Natural Gas Company,C000060,78916,NTG #2-SECTION 92,SRV,92 - 5T - T&NO,HUTCHINSON,TX,MID 10,LDC,D,A,20070406,,Y,"WEST TEXAS GAS, INC.",60150745,N,,,,20180127 05:00
784158214,Northern Natural Gas Company,C000060,78917,NTG #3-SECTION 93,SRV,93 - 5T - T&NO,HUTCHINSON,TX,MID 10,LDC,D,A,20070406,,Y,"WEST TEXAS GAS, INC.",60150745,N,,,,20180127 05:00
784158214,Northern Natural Gas Company,C000060,71415,NWPS/HURON #3 TBS,SRV,4 - 11 N - 61 W,BEADLE,SD,MID 17,LDC,D,I,,20251101,Y,NORTHWESTERN ENERGY PUBLIC SERVICE CORPORATION,129287403,N,,,,20251102 05:00
784158214,Northern Natural Gas Company,C000060,3261,OAKLAND IA #1,SRV,13 - 75 N - 40 W,POTTAWATTAMIE,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
