TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
006958581,,ANR Pipeline Company,C000623,1260989 ,SOUTH CHESTER DEL       ,19000101,,A,INT,D,ML-7,CRAWFORD,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,MI 7  T,Zone 7,,T,,N,Northern,20250915 22:50
006958581,,ANR Pipeline Company,C000623,1261065 ,FORT ELLIOTT RECEIPT    ,19000101,,A,WHD,B,SW-4,WHEELER,TX,Y,N,"Enable Oklahoma Intrastate Transmission, LLC",007205412,,,,,SW 1  C,Zone 4,,T,,N,,20251020 11:22
006958581,,ANR Pipeline Company,C000623,1261146 ,PATTERSON TERMINAL      ,19000101,,A,PLT,B,SE-1,ST MARY,LA,Y,N,"KINETICA DEEPWATER EXPRESS, LLC",008017117,,,,,SE 2  B,Zone 1,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,1292823 ,BOLIVAR                 ,19000101,,A,LDC,D,ML-2,BOLIVAR,MS,Y,Y,Atmos Energy Corporation,108203241,,C003008,,,ME 2  C,Zone 2,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,1292925 ,PROUGH ROAD             ,19000101,,A,EGN,D,ML-7,KALKASKA,MI,Y,N,Michigan Public Power Agency,069464725,,,,,MI 7  T,Zone 7,,T,,N,Northern,20251023 12:15
006958581,,ANR Pipeline Company,C000623,1293229 ,MLS BRIDGMAN-SANDWICH,20250930,,A,VIR,B,ML-7,WILL,IL,N,N,,,,,,,MI 7  V,Zone 7,,T,,N,Northern,20260122 14:04
006958581,,ANR Pipeline Company,C000623,12976   ,STANBERRY               ,19000101,,A,LDC,B,ML-6,GENTRY,MO,Y,N,"CITY OF STANBERRY, MISSOURI",051688745,,,,,MW 6  A,Zone 6,,T,,N,,20251023 06:53
006958581,,ANR Pipeline Company,C000623,12977   ,ALBANY                  ,19000101,,A,LDC,B,ML-6,GENTRY,MO,Y,N,"CITY OF ALBANY, MISSOURI",046334660,,,,,MW 6  A,Zone 6,,T,,N,,20251023 06:54
006958581,,ANR Pipeline Company,C000623,12991   ,BETHANY                 ,19000101,,A,LDC,B,ML-6,HARRISON,MO,Y,N,"CITY OF BETHANY, MISSOURI",092855311,,,,,MW 6  B,Zone 6,,T,,N,,20251023 06:54
006958581,,ANR Pipeline Company,C000623,12997   ,CRAIG                   ,19000101,,A,LDC,B,ML-5,HOLT,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 5  C,Zone 5,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,12999   ,FOREST CITY             ,19000101,,A,LDC,B,ML-5,HOLT,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 5  D,Zone 5,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13000   ,MOUND CITY              ,19000101,,A,LDC,B,ML-5,HOLT,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 5  D,Zone 5,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13001   ,MAITLAND                ,19000101,,A,LDC,B,ML-5,HOLT,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 5  D,Zone 5,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13133   ,GRAHAM                  ,19000101,,A,LDC,B,ML-5,NODAWAY,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 5  D,Zone 5,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13135   ,MARYVILLE               ,19000101,,A,LDC,B,ML-6,NODAWAY,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 6  L,Zone 6,,T,,N,,20250929 22:29
