LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
HOPE BRICK-ACCT @ HOPE ,ENABLE GAS TRANSMISSION  ,012564,SOUTH,MQ,AR,HEMPSTEAD                     ,000000001,
PLANTERS COTT ACCT     ,ENABLE GAS TRANSMISSION  ,012566,NORTH,MQ,AR,JEFFERSON                     ,000002370,
DUKE @ PERRYVILLE IC   ,REGENCY FIELD SERVICES LL,012600,SOUTH,M2,LA,OUACHITA                      ,000100000,
HIX LBR@RISON ACCT     ,ENABLE GAS TRANSMISSION  ,012617,SOUTH,MQ,AR,CLEVELAND                     ,000001380,
HIX LBR@MAGNOL-ACC     ,ENABLE GAS TRANSMISSION  ,012618,SOUTH,MQ,AR,COLUMBIA                      ,000000440,
HIX LMB@PLUMB ACCT     ,ENABLE GAS TRANSMISSION  ,012619,NORTH,MQ,AR,CONWAY                        ,000000470,
BAR S ACCT @LAWTON     ,ENABLE GAS TRANSMISSION  ,012621,WEST2,MQ,OK,COMANCHE                      ,000001170,
WEYERHAEUSER-MTPINE-ACC,ENABLE GAS TRANSMISSION  ,012622,NORTH,MQ,AR,GARLAND                       ,000000001,
WEYERHAEUSER DEQUEEN AC,ENABLE GAS TRANSMISSION  ,012623,SOUTH,MQ,AR,HOWARD                        ,000000001,
PILGRIM PRIDE-HOPE_ACCT,ENABLE GAS TRANSMISSION  ,012658,SOUTH,MQ,AR,HEMPSTEAD                     ,000000001,
AR DOC VARNER ACCT     ,ENABLE GAS TRANSMISSION  ,012672,NORTH,MQ,AR,JEFFERSON                     ,000000490,
ARK DOC TUCK ACCT      ,ENABLE GAS TRANSMISSION  ,012673,NORTH,MQ,AR,JEFFERSON                     ,000001260,
DELTA ASPHALT          ,SAMSON RESOURCES COMPANY ,012699,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
A TENENBAUM CO INC-ACCT,ENABLE GAS TRANSMISSION  ,012702,NORTH,MQ,AR,PULASKI                       ,000000001,
PRESCOLITE MOLDCAST-ACC,ENABLE GAS TRANSMISSION  ,012703,SOUTH,MQ,AR,UNION                         ,000000001,
AR DOC WRIGHT ACCT     ,ENABLE GAS TRANSMISSION  ,012704,NORTH,MQ,AR,PULASKI                       ,000000420,
AR DOC PINEBL-ACCT     ,ENABLE GAS TRANSMISSION  ,012705,NORTH,MQ,AR,JEFFERSON                     ,000003120,
FRITO-LAY ACCT         ,ENABLE GAS TRANSMISSION  ,012713,NORTH,MQ,AR,CRAIGHEAD                     ,000004010,
ARK DOC CUMM ACCT      ,ENABLE GAS TRANSMISSION  ,012715,NORTH,MQ,AR,JEFFERSON                     ,000001410,
MARTIN MARIETTA-TX ACCT,ENABLE GAS TRANSMISSION  ,012716,SOUTH,MQ,TX,BOWIE                         ,000000001,
FRIGIDAIRE-ACCT@CONWAY ,ENABLE GAS TRANSMISSION  ,012717,NORTH,MQ,AR,FAULKNER                      ,000000001,
NATL PRK MEDCT ACC     ,ENABLE GAS TRANSMISSION  ,012718,NORTH,MQ,AR,GARLAND                       ,000000240,
HACKNEY LDISH ACCT     ,ENABLE GAS TRANSMISSION  ,012720,NORTH,MQ,AR,POPE                          ,000002280,
TRINITY IND ACCT-W MEMP,ENABLE GAS TRANSMISSION  ,012722,NORTH,MQ,AR,CRITTENDEN                    ,000000001,
MRT @ DIXIE  LA REC    ,ENABLE MISSISSIPPI RIVER ,012723,SOUTH,M2,LA,CADDO                         ,000100000,
SOUTH ARK UNIV ACC     ,ENABLE GAS TRANSMISSION  ,012731,SOUTH,MQ,AR,COLUMBIA                      ,000001260,
MRT @ SHERRILL  AR REC ,ENABLE MISSISSIPPI RIVER ,012732,NORTH,M2,AR,JEFFERSON                     ,000070000,
CERC-MIDAME PET FOOD AC,ENABLE GAS TRANSMISSION  ,012741,SOUTH,MQ,TX,TITUS                         ,000000950,
CERC-PRIEFERT MFG IN AC,ENABLE GAS TRANSMISSION  ,012743,SOUTH,MQ,TX,TITUS                         ,000000640,
GEORGIA PACIFIC ELDORAD,ENABLE GAS TRANSMISSION  ,012767,SOUTH,MQ,AR,UNION                         ,000000001,
